index,full_name,age,overall_rating
3247,Luis Cardoza,34,63
9585,Kamil Wojtkowski,21,64
14746,Mix Diskerud,28,71
199,Ashley Young,33,79
16619,Alfredo Donnarumma,28,75
10090,Amor Layouni,26,65
16720,Jules Koundé,20,75
17926,Mats Hummels,30,88
13210,Iker Undabarrena Martínez,23,69
2316,Ivan Bandalovski,32,67
5591,Christoph Haas,26,55
3389,Alexander Meyer,27,63
4300,Ashley Nadesan,24,58
5435,Marc Tokich,19,54
15601,Erwin Mulder,30,72
9335,Juan Camilo Pérez Saldarriaga,33,64
3667,Gethin Jones,23,62
14187,Thomas Buffel,38,70
17857,Kyle Walker,28,84
6703,Michael Folivi,21,59
